iso,country,pacovw_2012,biome_1,biome_2,biome_3,biome_4,biome_5,biome_6,biome_7,biome_8,biome_9,biome_10,biome_11,biome_12,biome_13,biome_14,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_9,share_10,share_11,share_12,share_13,share_14
AGO,Angola,10.60284532,0.08,0,-1,-1,-1,-1,0.11,-1,0.84,-1,-1,-1,0.42,0,0.00523651857869628,0.00102680680140651,-1,-1,-1,-1,0.0522929597920246,-1,0.002932033212311,-1,-1,-1,0.00194928109934588,0.00345463305933612
BIH,Bosnia and Herzegovina,0.424993148,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00362152793526913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUB,Cuba,9.220790416,0.15,0.02,0.07,-1,-1,-1,-1,-1,0.12,-1,-1,-1,0.06,0.16,0.00108709979453935,0.0217304914580699,0.00854869117845039,-1,-1,-1,-1,-1,0.00514221927421436,-1,-1,-1,0.000114347586134877,0.0256147959867508
COD,Dem. Rep. Congo,10.1579661,0.11,-1,-1,-1,-1,-1,0.09,-1,0,0.73,-1,-1,-1,0.6,0.0582294873686053,-1,-1,-1,-1,-1,0.0565466043598769,-1,0.00213340389021897,0.000150495835767801,-1,-1,-1,0.00204409845203835
GRD,Grenada,0.640767636,0.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.13832652641331e-05,2.28977612380505e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.78800002661964e-07,1.38842970662205e-05
HUN,Hungary,5.026107547,-1,-1,-1,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0072545306356087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
COL,Colombia,13.12807852,0.24,0.03,-1,-1,-1,-1,0.11,-1,-1,0.45,-1,-1,0.34,0.18,0.0437930566053293,0.0261266995252959,-1,-1,-1,-1,0.00737482158432851,-1,-1,0.00317592255938351,-1,-1,0.000991129950229293,0.024573363732154
DJI,Djibouti,0.000871526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000779637268470335,-1
DMA,Dominica,14.47017751,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,3.09330297399163e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.41791013530462e-06,-1
FIN,Finland,8.582794381,-1,-1,-1,0.01,-1,0.09,-1,-1,-1,-1,0.79,-1,-1,-1,-1,-1,-1,0.000566346179430501,-1,0.0216430263827711,-1,-1,-1,-1,0.000440840033333235,-1,-1,-1
NLD,Netherlands,17,-1,-1,-1,0.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00272240186383333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ANT,Netherlands Antilles,-99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PER,Peru,11.96556364,0.22,0.06,-1,-1,-1,-1,-1,-1,-1,0.1,-1,-1,0.04,0.05,0.044897392823955,0.0164572680405182,-1,-1,-1,-1,-1,-1,-1,0.0365496904414102,-1,-1,0.0065628357793391,0.00104291691210484
VCT,Saint Vincent and the Grenadines,0.483407676,0.24,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,9.21259785029216e-06,1.78200288629555e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.60320073508717e-06,0.000431842879245794
WSM,Samoa,6.449858072,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000146120566102704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ISL,Iceland,15.55996824,-1,-1,-1,-1,-1,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00608912033879668,-1,-1,-1,-1,-1,-1,-1,-1
MEX,Mexico,11.29796765,0.13,0.05,0.12,-1,0.17,-1,0.73,-1,-1,-1,-1,0.02,0.12,0.41,0.0137438370325437,0.123406918529779,0.650434414573348,-1,0.00097860857094332,-1,0.000177711843926467,-1,-1,-1,-1,0.00368813774442655,0.0289430796016955,0.0672561398492385
MSR,Montserrat,1.942379725,0.33,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,-1,1.5480017848002e-06,1.46708423997044e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.47329633559204e-07,-1
NCL,New Caledonia,17,0.58,0.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000744683124562032,0.00141765656756089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
USA,United States of America,10.16842743,0.16,0.15,0.19,0.05,0.14,0.39,0.06,0.02,0.36,-1,0.57,0.12,0.1,-1,0.000676524167767426,0.0022073911565075,0.0159431790857861,0.169746276939707,0.37253121477228,0.0332535955347618,0.00367307760577038,0.238737763236323,0.0183518044147389,-1,0.108258427195083,0.0340621690713095,0.0546786180051903,-1
MNE,Montenegro,13.08986319,-1,-1,-1,0.13,-1,-1,-1,-1,-1,-1,-1,0.13,-1,-1,-1,-1,-1,0.000748177312186894,-1,-1,-1,-1,-1,-1,-1,0.00130326689287629,-1,-1
NGA,Nigeria,9.897919849,0.17,-1,-1,-1,-1,-1,0.12,-1,0.16,0.09,-1,-1,-1,0.06,0.0064379045221207,-1,-1,-1,-1,-1,0.0358568402379114,-1,0.00480817264735017,0.00272655459681006,-1,-1,-1,0.0455123683655227
NOR,Norway,13.31703607,-1,-1,-1,0.03,0.06,0.08,-1,-1,-1,-1,0.23,-1,-1,-1,-1,-1,-1,0.00075839262327408,0.00542021507315821,0.00649426238244013,-1,-1,-1,-1,0.0234740371407209,-1,-1,-1
NFK,Norfolk Island,11.66000726,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.40278107753619e-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CYM,Cayman Islands,10.34637525,-1,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,-1,4.59476890489052e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000393516720611514
CHN,China,13.66981927,0.07,-1,-1,0.07,0.16,0,-1,0.1,0.16,0.39,-1,-1,0.1,-1,0.0780101328966309,-1,-1,0.180978467583447,0.127624395598221,2.14602150314872e-05,-1,0.0631284411029741,0.0997244094832477,0.501224570537704,-1,-1,0.0621039185611533,-1
LCA,Saint Lucia,5.605014769,0.24,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,-1,1.65087919110407e-05,9.00594553172386e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.80679724446864e-07,-1
KNA,Saint Kitts and Nevis,0.101599546,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,0,3.24733883295973e-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.49300987975439e-07,0.000521087291675402
GMB,Gambia,5.888682481,-1,-1,-1,-1,-1,-1,0.04,-1,-1,-1,-1,-1,-1,0.06,-1,-1,-1,-1,-1,-1,0.000475289036450652,-1,-1,-1,-1,-1,-1,0.00271524612665916
GNB,Guinea-Bissau,16.89104793,-1,-1,-1,-1,-1,-1,0.15,-1,-1,-1,-1,-1,-1,0.2,-1,-1,-1,-1,-1,-1,0.0012046760145975,-1,-1,-1,-1,-1,-1,0.0246212851772757
GUF,French Guiana,17,0.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.42,0.00413671324613719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00637533928891779
MHL,Marshall Islands,1.76136225,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.08868140752946e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
