EH_AirQuality,62.32;Afghanistan,68.24;Albania,99.28;Algeria,NA;American Samoa,97.37;Andorra,79.27;Angola,NA;Anguilla,100;Antigua and Barbuda,99.64;Argentina,76.6;Armenia,NA;Aruba,98.33;Australia,76.45;Austria,86.87;Azerbaijan,98.33;Bahamas,74.63;Bahrain,13.83;Bangladesh,100;Barbados,81.21;Belarus,69.79;Belgium,96;Belize,67.39;Benin,NA;Bermuda,44.86;Bhutan,88.77;Bolivia,69.53;Bosnia and Herzegovina,87.67;Botswana,97.64;Brazil,NA;British Virgin Islands,94.62;Brunei Darussalam,77.23;Bulgaria,69.33;Burkina Faso,59.95;Burundi,64.82;Cambodia,73.8;Cameroon,97.85;Canada,89.33;Cape Verde,NA;Cayman Islands,66.68;Central African Republic,70.55;Chad,96.8;Chile,18.81;China,95.09;Colombia,76.33;Comoros,73.85;Congo,98.67;Cook Islands,97.88;Costa Rica,73.88;Cote d'Ivoire,76.67;Croatia,97;Cuba,85.68;Cyprus,73.99;Czech Republic,56.26;Dem. Rep. Congo,92.82;Denmark,93.39;Djibouti,99.67;Dominica,97.55;Dominican Republic,98.13;Ecuador,67.99;Egypt,92.55;El Salvador,74.09;Equatorial Guinea,78.2;Eritrea,96.21;Estonia,66.85;Ethiopia,NA;Faeroe Islands,NA;Falkland Islands,87.67;Fiji,98.33;Finland,89.44;France,NA;French Guiana,NA;French Polynesia,90.97;Gabon,69.67;Gambia,75.53;Georgia,78.5;Germany,69.72;Ghana,NA;Gibraltar,85.88;Greece,NA;Greenland,100;Grenada,NA;Guadeloupe,NA;Guam,80.4;Guatemala,67.67;Guinea,67.33;Guinea-Bissau,97.55;Guyana,69.67;Haiti,NA;Holy See,82.88;Honduras,NA;Hong Kong,70.24;Hungary,98.33;Iceland,23.24;India,75.31;Indonesia,88.81;Iran,67.42;Iraq,98.33;Ireland,NA;Isle of Man,79.57;Israel,80.85;Italy,96.33;Jamaica,84.79;Japan,82.51;Jordan,95.92;Kazakhstan,73.33;Kenya,84.67;Kiribati,61.54;Kuwait,86.51;Kyrgyzstan,29.23;Laos,96.29;Latvia,77.34;Lebanon,79.67;Lesotho,67.33;Liberia,97.12;Libya,NA;Liechtenstein,85.09;Lithuania,81.98;Luxembourg,NA;Macao,64.26;Macedonia,67.33;Madagascar,67.55;Malawi,90.54;Malaysia,NA;Maldives,67.33;Mali,98.33;Malta,89.33;Marshall Islands,NA;Martinique,80.67;Mauritania,100;Mauritius,NA;Mayotte,87.09;Mexico,86.33;Micronesia,73.63;Moldova,84.94;Monaco,76;Mongolia,76.19;Montenegro,NA;Montserrat,98.85;Morocco,68.33;Mozambique,47.68;Myanmar,81.67;Namibia,98.33;Nauru,16.23;Nepal,75.57;Netherlands,NA;Netherlands Antilles,NA;New Caledonia,98.33;New Zealand,81.88;Nicaragua,67.4;Niger,72.7;Nigeria,98.67;Niue,NA;Norfolk Island,32.31;North Korea,NA;Northern Mariana Islands,98.33;Norway,96.89;Oman,23.02;Pakistan,100;Palau,94;Panama,75.43;Papua New Guinea,83.67;Paraguay,83.68;Peru,81.53;Philippines,NA;Pitcairn,70.74;Poland,97.97;Portugal,NA;Puerto Rico,76.81;Qatar,NA;Reunion,68.88;Romania,94.36;Russia,63.26;Rwanda,NA;Saint Helena,95.33;Saint Kitts and Nevis,100;Saint Lucia,NA;Saint Pierre and Miquelon,99;Saint Vincent and the Grenadines,82.33;Samoa,98.33;San Marino,76.33;Sao Tome and Principe,84.45;Saudi Arabia,83;Senegal,67.17;Serbia,100;Seychelles,67.33;Sierra Leone,98.33;Singapore,73.12;Slovakia,78.13;Slovenia,70;Solomon Islands,66.89;Somalia,94.4;South Africa,62.24;South Korea,97.37;Spain,70.8;Sri Lanka,NA;State of Palestine,73.55;Sudan,96;Suriname,NA;Svalbard and Jan Mayen Islands,81.67;Swaziland,97.13;Sweden,76.56;Switzerland,71.08;Syria,76.38;Taiwan,69.19;Tajikistan,68.31;Tanzania,67.67;Thailand,69.33;Timor-Leste,67.23;Togo,NA;Tokelau,85.67;Tonga,99.88;Trinidad and Tobago,99.04;Tunisia,84.07;Turkey,98.2;Turkmenistan,NA;Turks and Caicos Islands,93.67;Tuvalu,66.8;Uganda,84.76;Ukraine,86.47;United Arab Emirates,95.82;United Kingdom,96.41;United States of America,NA;United States Virgin Islands,100;Uruguay,79.37;Uzbekistan,72;Vanuatu,99.04;Venezuela,51.32;Viet Nam,NA;Wallis and Futuna Islands,NA;Western Sahara,81.65;Yemen,71.25;Zambia,78;Zimbabwe
EH_HealthImpacts,33.83;Afghanistan,93.75;Albania,66.12;Algeria,NA;American Samoa,NA;Andorra,15.29;Angola,NA;Anguilla,83.79;Antigua and Barbuda,85.07;Argentina,80.93;Armenia,81.39;Aruba,100;Australia,100;Austria,60.57;Azerbaijan,71.19;Bahamas,81.63;Bahrain,54.87;Bangladesh,89.63;Barbados,88.14;Belarus,99.65;Belgium,80.78;Belize,24.65;Benin,NA;Bermuda,42.35;Bhutan,48.63;Bolivia,91.03;Bosnia and Herzegovina,56.09;Botswana,68.59;Brazil,NA;British Virgin Islands,100;Brunei Darussalam,87.46;Bulgaria,13.18;Burkina Faso,18.1;Burundi,52.86;Cambodia,22.91;Cameroon,100;Canada,77.56;Cape Verde,NA;Cayman Islands,15.89;Central African Republic,15.25;Chad,91.71;Chile,76.23;China,63;Colombia,34.1;Comoros,27.54;Congo,NA;Cook Islands,90.39;Costa Rica,28.6;Cote d'Ivoire,95.79;Croatia,93.18;Cuba,100;Cyprus,100;Czech Republic,11.04;Dem. Rep. Congo,100;Denmark,31.57;Djibouti,73.9;Dominica,78.15;Dominican Republic,72.1;Ecuador,66.83;Egypt,71.88;El Salvador,17.28;Equatorial Guinea,46.58;Eritrea,93.47;Estonia,35.24;Ethiopia,NA;Faeroe Islands,NA;Falkland Islands,72.54;Fiji,100;Finland,100;France,84.29;French Guiana,100;French Polynesia,37.41;Gabon,22.16;Gambia,79.42;Georgia,100;Germany,33.45;Ghana,NA;Gibraltar,100;Greece,NA;Greenland,75.84;Grenada,100;Guadeloupe,89.42;Guam,58.89;Guatemala,18.03;Guinea,14.52;Guinea-Bissau,64.24;Guyana,33.13;Haiti,NA;Holy See,53.31;Honduras,97.84;Hong Kong,96.71;Hungary,97.97;Iceland,50.04;India,67.55;Indonesia,64.34;Iran,71.73;Iraq,100;Ireland,NA;Isle of Man,98.13;Israel,100;Italy,72.5;Jamaica,99.2;Japan,79.31;Jordan,66.8;Kazakhstan,33.86;Kenya,58.45;Kiribati,80.72;Kuwait,56.77;Kyrgyzstan,56.74;Laos,91.58;Latvia,91.77;Lebanon,36.32;Lesotho,35.4;Liberia,81.63;Libya,NA;Liechtenstein,92.69;Lithuania,94.79;Luxembourg,90.56;Macao,100;Macedonia,41.84;Madagascar,28.05;Malawi,95.38;Malaysia,84.2;Maldives,9.7;Mali,85.76;Malta,NA;Marshall Islands,94.66;Martinique,26.73;Mauritania,88.37;Mauritius,100;Mayotte,76.67;Mexico,59.97;Micronesia,76.03;Moldova,NA;Monaco,65.75;Mongolia,98.68;Montenegro,NA;Montserrat,64.96;Morocco,23.25;Mozambique,45.8;Myanmar,56.53;Namibia,NA;Nauru,56.79;Nepal,100;Netherlands,NA;Netherlands Antilles,83.99;New Caledonia,94.16;New Zealand,74.66;Nicaragua,11.94;Niger,21.29;Nigeria,NA;Niue,NA;Norfolk Island,64.11;North Korea,NA;Northern Mariana Islands,100;Norway,88.83;Oman,64.97;Pakistan,76.45;Palau,72.7;Panama,46.1;Papua New Guinea,63.67;Paraguay,54.81;Peru,62.94;Philippines,NA;Pitcairn,98.71;Poland,100;Portugal,86.47;Puerto Rico,90.52;Qatar,100;Reunion,85.36;Romania,83.12;Russia,35.65;Rwanda,NA;Saint Helena,NA;Saint Kitts and Nevis,73.58;Saint Lucia,NA;Saint Pierre and Miquelon,70.1;Saint Vincent and the Grenadines,73.29;Samoa,NA;San Marino,40.42;Sao Tome and Principe,94.68;Saudi Arabia,35.02;Senegal,84.77;Serbia,83.98;Seychelles,11.55;Sierra Leone,100;Singapore,93.13;Slovakia,100;Slovenia,55.12;Solomon Islands,18.55;Somalia,47.51;South Africa,96.93;South Korea,96.17;Spain,82.82;Sri Lanka,73.9;State of Palestine,29.95;Sudan,64.28;Suriname,NA;Svalbard and Jan Mayen Islands,31.43;Swaziland,100;Sweden,100;Switzerland,78.81;Syria,94.95;Taiwan,43.73;Tajikistan,35.69;Tanzania,88.23;Thailand,53.2;Timor-Leste,26.06;Togo,NA;Tokelau,72.58;Tonga,63.01;Trinidad and Tobago,89.95;Tunisia,66.06;Turkey,48.37;Turkmenistan,NA;Turks and Caicos Islands,NA;Tuvalu,31.05;Uganda,83.06;Ukraine,96.09;United Arab Emirates,100;United Kingdom,95.33;United States of America,89.63;United States Virgin Islands,80.39;Uruguay,55.07;Uzbekistan,69.57;Vanuatu,70.44;Venezuela,62.83;Viet Nam,NA;Wallis and Futuna Islands,55.76;Western Sahara,38.98;Yemen,26.17;Zambia,43.76;Zimbabwe
EH_WaterSanitation,7.69;Afghanistan,55.91;Albania,46.13;Algeria,84.2;American Samoa,100;Andorra,11.76;Angola,64.86;Anguilla,61.01;Antigua and Barbuda,75.7;Argentina,66.3;Armenia,72.57;Aruba,100;Australia,100;Austria,30.66;Azerbaijan,51.95;Bahamas,93.4;Bahrain,22.56;Bangladesh,73.12;Barbados,73.66;Belarus,100;Belgium,62.49;Belize,11.44;Benin,NA;Bermuda,38.98;Bhutan,24.46;Bolivia,72.15;Bosnia and Herzegovina,42.36;Botswana,50.44;Brazil,64.2;British Virgin Islands,73.93;Brunei Darussalam,95.02;Bulgaria,14.01;Burkina Faso,16.63;Burundi,10.52;Cambodia,16.17;Cameroon,95.9;Canada,29.29;Cape Verde,62.28;Cayman Islands,10.66;Central African Republic,2.91;Chad,79.74;Chile,33.15;China,39.92;Colombia,31.77;Comoros,10.27;Congo,75.29;Cook Islands,59.57;Costa Rica,14.77;Cote d'Ivoire,77.71;Croatia,51.75;Cuba,100;Cyprus,97.91;Czech Republic,4.39;Dem. Rep. Congo,100;Denmark,33.11;Djibouti,43.98;Dominica,31.68;Dominican Republic,50.07;Ecuador,73.59;Egypt,32.43;El Salvador,25.18;Equatorial Guinea,5.53;Eritrea,77.67;Estonia,3.53;Ethiopia,NA;Faeroe Islands,NA;Falkland Islands,51.94;Fiji,100;Finland,100;France,44.77;French Guiana,84.83;French Polynesia,21.88;Gabon,31.26;Gambia,64.39;Georgia,100;Germany,17.77;Ghana,NA;Gibraltar,87.76;Greece,100;Greenland,51.93;Grenada,78.11;Guadeloupe,80.14;Guam,42.37;Guatemala,10.91;Guinea,10.19;Guinea-Bissau,45.78;Guyana,8.37;Haiti,NA;Holy See,36.38;Honduras,NA;Hong Kong,99.99;Hungary,100;Iceland,26.28;India,24.29;Indonesia,75.21;Iran,34.87;Iraq,90.47;Ireland,NA;Isle of Man,100;Israel,63.51;Italy,41.26;Jamaica,100;Japan,69.06;Jordan,63.48;Kazakhstan,7.92;Kenya,11.24;Kiribati,91.69;Kuwait,47.11;Kyrgyzstan,17.5;Laos,53.69;Latvia,88.69;Lebanon,13.94;Lesotho,11.22;Liberia,37.24;Libya,NA;Liechtenstein,43.81;Lithuania,100;Luxembourg,NA;Macao,70.51;Macedonia,2.43;Madagascar,22.44;Malawi,77.21;Malaysia,77;Maldives,8.19;Mali,100;Malta,41.22;Marshall Islands,74.75;Martinique,4.52;Mauritania,71.27;Mauritius,NA;Mayotte,46.2;Mexico,27.52;Micronesia,50.99;Moldova,100;Monaco,23.61;Mongolia,60.08;Montenegro,59.15;Montserrat,26.24;Morocco,2.88;Mozambique,30.69;Myanmar,28.4;Namibia,40.73;Nauru,22;Nepal,100;Netherlands,NA;Netherlands Antilles,88.78;New Caledonia,71.28;New Zealand,23.16;Nicaragua,2.93;Niger,8.17;Nigeria,89.49;Niue,NA;Norfolk Island,54.21;North Korea,69.49;Northern Mariana Islands,100;Norway,57.52;Oman,28.34;Pakistan,79.06;Palau,39.11;Panama,1.38;Papua New Guinea,29.76;Paraguay,29.07;Peru,37.35;Philippines,NA;Pitcairn,59.31;Poland,96.75;Portugal,69.98;Puerto Rico,100;Qatar,80.98;Reunion,31.32;Romania,45.17;Russia,17.2;Rwanda,NA;Saint Helena,58.75;Saint Kitts and Nevis,36.28;Saint Lucia,NA;Saint Pierre and Miquelon,42.66;Saint Vincent and the Grenadines,62.09;Samoa,NA;San Marino,36.24;Sao Tome and Principe,83.48;Saudi Arabia,16.49;Senegal,78.19;Serbia,66.09;Seychelles,4.77;Sierra Leone,100;Singapore,97.43;Slovakia,95.96;Slovenia,15.13;Solomon Islands,1.29;Somalia,36.08;South Africa,85.92;South Korea,99.33;Spain,48.85;Sri Lanka,43.26;State of Palestine,5.51;Sudan,41.16;Suriname,NA;Svalbard and Jan Mayen Islands,17.34;Swaziland,100;Sweden,100;Switzerland,51.38;Syria,100;Taiwan,36.74;Tajikistan,3.68;Tanzania,57.62;Thailand,12.22;Timor-Leste,5.18;Togo,61.43;Tokelau,68.03;Tonga,52.08;Trinidad and Tobago,54.57;Tunisia,71.43;Turkey,51.78;Turkmenistan,35.09;Turks and Caicos Islands,53.39;Tuvalu,13.93;Uganda,65.31;Ukraine,82.41;United Arab Emirates,100;United Kingdom,86.48;United States of America,82.91;United States Virgin Islands,89.51;Uruguay,68.59;Uzbekistan,29.8;Vanuatu,49.01;Venezuela,43.15;Viet Nam,NA;Wallis and Futuna Islands,NA;Western Sahara,10.69;Yemen,11.12;Zambia,17.5;Zimbabwe
EV_WaterResources,0;Afghanistan,3.36;Albania,34.64;Algeria,40.98;American Samoa,38.38;Andorra,0;Angola,NA;Anguilla,11.37;Antigua and Barbuda,11.75;Argentina,22.59;Armenia,NA;Aruba,92.33;Australia,79.05;Austria,13.15;Azerbaijan,11.37;Bahamas,64.27;Bahrain,0;Bangladesh,11.37;Barbados,86.45;Belarus,60;Belgium,2.28;Belize,0.01;Benin,0.21;Bermuda,0;Bhutan,11.3;Bolivia,3.18;Bosnia and Herzegovina,0.95;Botswana,10.87;Brazil,6;British Virgin Islands,37.84;Brunei Darussalam,28.86;Bulgaria,0.02;Burkina Faso,0;Burundi,0;Cambodia,0;Cameroon,80.42;Canada,19.4;Cape Verde,NA;Cayman Islands,0;Central African Republic,0;Chad,68.85;Chile,18.18;China,4.6;Colombia,3.96;Comoros,0.18;Congo,NA;Cook Islands,0.9;Costa Rica,0.6;Cote d'Ivoire,13.23;Croatia,9.19;Cuba,9.44;Cyprus,75.68;Czech Republic,0;Dem. Rep. Congo,93.45;Denmark,0;Djibouti,2.99;Dominica,5.9;Dominican Republic,6.4;Ecuador,49.5;Egypt,0.62;El Salvador,1.25;Equatorial Guinea,0;Eritrea,75.27;Estonia,0;Ethiopia,NA;Faeroe Islands,NA;Falkland Islands,3.9;Fiji,84.25;Finland,83.8;France,17.25;French Guiana,NA;French Polynesia,0;Gabon,0.4;Gambia,0;Georgia,95.18;Germany,10.25;Ghana,NA;Gibraltar,87.33;Greece,NA;Greenland,11.37;Grenada,15.76;Guadeloupe,NA;Guam,5.37;Guatemala,0.75;Guinea,0;Guinea-Bissau,0;Guyana,0;Haiti,NA;Holy See,15.54;Honduras,87.79;Hong Kong,58.62;Hungary,51.94;Iceland,10.49;India,0.02;Indonesia,2.77;Iran,8.29;Iraq,87.47;Ireland,NA;Isle of Man,88.4;Israel,91.44;Italy,10;Jamaica,71.26;Japan,42.3;Jordan,30.5;Kazakhstan,0.52;Kenya,27.06;Kiribati,43;Kuwait,4.2;Kyrgyzstan,0;Laos,49.62;Latvia,15.08;Lebanon,0.3;Lesotho,0;Liberia,18.08;Libya,NA;Liechtenstein,45.82;Lithuania,95;Luxembourg,NA;Macao,3.74;Macedonia,0.53;Madagascar,0;Malawi,8.64;Malaysia,4.65;Maldives,0;Mali,37.01;Malta,0;Marshall Islands,21.44;Martinique,0;Mauritania,5.44;Mauritius,NA;Mayotte,37.45;Mexico,NA;Micronesia,34.15;Moldova,100;Monaco,19.8;Mongolia,5.1;Montenegro,NA;Montserrat,39.39;Morocco,2.5;Mozambique,0;Myanmar,13;Namibia,NA;Nauru,0;Nepal,98.82;Netherlands,NA;Netherlands Antilles,NA;New Caledonia,77.9;New Zealand,8.4;Nicaragua,0;Niger,1.08;Nigeria,NA;Niue,NA;Norfolk Island,0;North Korea,NA;Northern Mariana Islands,77.05;Norway,13.4;Oman,3.52;Pakistan,40;Palau,20.15;Panama,0;Papua New Guinea,0.16;Paraguay,20.98;Peru,0.53;Philippines,NA;Pitcairn,60.73;Poland,70.33;Portugal,57;Puerto Rico,67.32;Qatar,12.43;Reunion,13.05;Romania,21.5;Russia,0;Rwanda,NA;Saint Helena,NA;Saint Kitts and Nevis,NA;Saint Lucia,NA;Saint Pierre and Miquelon,NA;Saint Vincent and the Grenadines,NA;Samoa,NA;San Marino,NA;Sao Tome and Principe,28.54;Saudi Arabia,2.06;Senegal,8.79;Serbia,3.96;Seychelles,0;Sierra Leone,99.65;Singapore,57.64;Slovakia,53.99;Slovenia,0;Solomon Islands,3.96;Somalia,27.86;South Africa,83.68;South Korea,92.83;Spain,0;Sri Lanka,NA;State of Palestine,0;Sudan,0.01;Suriname,NA;Svalbard and Jan Mayen Islands,55.5;Swaziland,87.86;Sweden,96.95;Switzerland,82.17;Syria,4.59;Taiwan,2.25;Tajikistan,0.42;Tanzania,16;Thailand,0.3;Timor-Leste,0;Togo,NA;Tokelau,27.06;Tonga,5.25;Trinidad and Tobago,27.77;Tunisia,48.93;Turkey,9.8;Turkmenistan,NA;Turks and Caicos Islands,NA;Tuvalu,0.56;Uganda,14.7;Ukraine,67.06;United Arab Emirates,97.93;United Kingdom,63.66;United States of America,NA;United States Virgin Islands,6.67;Uruguay,0;Uzbekistan,27.06;Vanuatu,14.94;Venezuela,0.14;Viet Nam,NA;Wallis and Futuna Islands,NA;Western Sahara,0.49;Yemen,4.2;Zambia,14.03;Zimbabwe
EV_Agriculture,50;Afghanistan,60;Albania,94;Algeria,NA;American Samoa,16.53;Andorra,56;Angola,NA;Anguilla,84;Antigua and Barbuda,96;Argentina,92;Armenia,NA;Aruba,66.46;Australia,65.49;Austria,62;Azerbaijan,12;Bahamas,12;Bahrain,92;Bangladesh,84;Barbados,68;Belarus,65.33;Belgium,92;Belize,74.05;Benin,NA;Bermuda,50;Bhutan,64;Bolivia,56;Bosnia and Herzegovina,20;Botswana,74.51;Brazil,NA;British Virgin Islands,68;Brunei Darussalam,81.62;Bulgaria,88;Burkina Faso,88;Burundi,64;Cambodia,96;Cameroon,62.52;Canada,92;Cape Verde,NA;Cayman Islands,90;Central African Republic,75.14;Chad,67.39;Chile,33.85;China,52.51;Colombia,58;Comoros,92;Congo,NA;Cook Islands,90;Costa Rica,80;Cote d'Ivoire,60.99;Croatia,84;Cuba,61.34;Cyprus,67.07;Czech Republic,58;Dem. Rep. Congo,66.06;Denmark,84;Djibouti,56;Dominica,52.69;Dominican Republic,96;Ecuador,73.01;Egypt,84;El Salvador,0;Equatorial Guinea,92;Eritrea,67.12;Estonia,60;Ethiopia,NA;Faeroe Islands,NA;Falkland Islands,94;Fiji,66.99;Finland,65.55;France,NA;French Guiana,NA;French Polynesia,12;Gabon,92;Gambia,56;Georgia,65.31;Germany,92;Ghana,NA;Gibraltar,61.01;Greece,NA;Greenland,50;Grenada,NA;Guadeloupe,NA;Guam,94;Guatemala,94;Guinea,56;Guinea-Bissau,92;Guyana,52;Haiti,NA;Holy See,92;Honduras,NA;Hong Kong,65.34;Hungary,50.62;Iceland,58.4;India,51.85;Indonesia,92;Iran,50;Iraq,66.39;Ireland,NA;Isle of Man,14.66;Israel,58.87;Italy,96;Jamaica,46.48;Japan,84;Jordan,37.13;Kazakhstan,92;Kenya,56;Kiribati,92;Kuwait,94;Kyrgyzstan,80;Laos,64.57;Latvia,90;Lebanon,56;Lesotho,96;Liberia,12;Libya,NA;Liechtenstein,66.61;Lithuania,65.33;Luxembourg,NA;Macao,94;Macedonia,92;Madagascar,88;Malawi,57.68;Malaysia,56;Maldives,58;Mali,19.66;Malta,NA;Marshall Islands,NA;Martinique,56;Mauritania,92;Mauritius,NA;Mayotte,55.21;Mexico,56;Micronesia,74;Moldova,NA;Monaco,88;Mongolia,86;Montenegro,NA;Montserrat,46.35;Morocco,50.7;Mozambique,80;Myanmar,56;Namibia,NA;Nauru,92;Nepal,65.36;Netherlands,NA;Netherlands Antilles,NA;New Caledonia,79.49;New Zealand,88;Nicaragua,78;Niger,92;Nigeria,NA;Niue,NA;Norfolk Island,NA;North Korea,NA;Northern Mariana Islands,46.6;Norway,24;Oman,74;Pakistan,12;Palau,96;Panama,56;Papua New Guinea,92;Paraguay,92;Peru,45.38;Philippines,NA;Pitcairn,64.98;Poland,64.3;Portugal,NA;Puerto Rico,88;Qatar,NA;Reunion,72.13;Romania,16.93;Russia,60;Rwanda,NA;Saint Helena,84;Saint Kitts and Nevis,20;Saint Lucia,NA;Saint Pierre and Miquelon,56;Saint Vincent and the Grenadines,76;Samoa,NA;San Marino,56;Sao Tome and Principe,92;Saudi Arabia,17.45;Senegal,96;Serbia,48;Seychelles,56;Sierra Leone,96;Singapore,63.85;Slovakia,63.43;Slovenia,56;Solomon Islands,56;Somalia,79.2;South Africa,46.98;South Korea,65.19;Spain,92;Sri Lanka,NA;State of Palestine,92;Sudan,90;Suriname,NA;Svalbard and Jan Mayen Islands,58;Swaziland,65.18;Sweden,49.24;Switzerland,92;Syria,44.96;Taiwan,76;Tajikistan,65.87;Tanzania,62.13;Thailand,50;Timor-Leste,92;Togo,NA;Tokelau,56;Tonga,96;Trinidad and Tobago,88;Tunisia,56.67;Turkey,50;Turkmenistan,NA;Turks and Caicos Islands,74;Tuvalu,58;Uganda,62.03;Ukraine,92;United Arab Emirates,66.03;United Kingdom,61.53;United States of America,NA;United States Virgin Islands,68.06;Uruguay,50;Uzbekistan,56;Vanuatu,94;Venezuela,58.25;Viet Nam,NA;Wallis and Futuna Islands,NA;Western Sahara,92;Yemen,42.83;Zambia,56;Zimbabwe
EV_Forests,52.35;Afghanistan,17.25;Albania,26.24;Algeria,NA;American Samoa,-911;Andorra,26.24;Angola,NA;Anguilla,-911;Antigua and Barbuda,0;Argentina,74.82;Armenia,NA;Aruba,100;Australia,19.87;Austria,63.12;Azerbaijan,21.31;Bahamas,-911;Bahrain,22.83;Bangladesh,-911;Barbados,68.23;Belarus,23.64;Belgium,4.69;Belize,-911;Benin,NA;Bermuda,63.12;Bhutan,11.77;Bolivia,100;Bosnia and Herzegovina,-911;Botswana,10.81;Brazil,NA;British Virgin Islands,36.46;Brunei Darussalam,84.12;Bulgaria,-911;Burkina Faso,22.83;Burundi,0;Cambodia,43.06;Cameroon,16.64;Canada,-911;Cape Verde,NA;Cayman Islands,43.06;Central African Republic,-911;Chad,100;Chile,25.34;China,26.24;Colombia,68.23;Comoros,47.23;Congo,NA;Cook Islands,19.87;Costa Rica,0;Cote d'Ivoire,63.12;Croatia,100;Cuba,35.07;Cyprus,45.05;Czech Republic,26.24;Dem. Rep. Congo,18.52;Denmark,-911;Djibouti,-911;Dominica,5.79;Dominican Republic,28.15;Ecuador,-911;Egypt,9.9;El Salvador,37.94;Equatorial Guinea,-911;Eritrea,9.02;Estonia,35.07;Ethiopia,NA;Faeroe Islands,-911;Falkland Islands,58.94;Fiji,11.77;Finland,37.94;France,63.12;French Guiana,NA;French Polynesia,58.94;Gabon,-911;Gambia,84.12;Georgia,31.35;Germany,10.81;Ghana,NA;Gibraltar,22.83;Greece,NA;Greenland,-911;Grenada,55.41;Guadeloupe,NA;Guam,0;Guatemala,17.25;Guinea,13.81;Guinea-Bissau,63.12;Guyana,23.64;Haiti,NA;Holy See,6.17;Honduras,100;Hong Kong,100;Hungary,-911;Iceland,35.07;India,7.75;Indonesia,84.12;Iran,-911;Iraq,100;Ireland,NA;Isle of Man,-911;Israel,55.41;Italy,18.52;Jamaica,55.41;Japan,-911;Jordan,74.82;Kazakhstan,15.46;Kenya,-911;Kiribati,-911;Kuwait,68.23;Kyrgyzstan,13.28;Laos,3.3;Latvia,74.82;Lebanon,-911;Lesotho,20.58;Liberia,-911;Libya,NA;Liechtenstein,23.64;Lithuania,33.76;Luxembourg,NA;Macao,25.34;Macedonia,7.75;Madagascar,0;Malawi,1.68;Malaysia,NA;Maldives,-911;Mali,-911;Malta,NA;Marshall Islands,27.17;Martinique,-911;Mauritania,100;Mauritius,NA;Mayotte,19.87;Mexico,NA;Micronesia,100;Moldova,-911;Monaco,0;Mongolia,100;Montenegro,NA;Montserrat,100;Morocco,3.99;Mozambique,24.47;Myanmar,-911;Namibia,NA;Nauru,63.12;Nepal,33.76;Netherlands,NA;Netherlands Antilles,63.12;New Caledonia,100;New Zealand,0;Nicaragua,-911;Niger,29.16;Nigeria,NA;Niue,NA;Norfolk Island,23.64;North Korea,NA;Northern Mariana Islands,32.52;Norway,-911;Oman,43.06;Pakistan,-911;Palau,14.35;Panama,45.05;Papua New Guinea,0;Paraguay,32.52;Peru,31.35;Philippines,NA;Pitcairn,58.94;Poland,7.75;Portugal,41.22;Puerto Rico,-911;Qatar,100;Reunion,45.05;Romania,35.07;Russia,45.05;Rwanda,NA;Saint Helena,NA;Saint Kitts and Nevis,NA;Saint Lucia,NA;Saint Pierre and Miquelon,NA;Saint Vincent and the Grenadines,NA;Samoa,NA;San Marino,NA;Sao Tome and Principe,-911;Saudi Arabia,-911;Senegal,100;Serbia,-911;Seychelles,18.52;Sierra Leone,-911;Singapore,21.31;Slovakia,45.05;Slovenia,35.07;Solomon Islands,-911;Somalia,100;South Africa,33.76;South Korea,45.05;Spain,33.76;Sri Lanka,NA;State of Palestine,-911;Sudan,63.12;Suriname,NA;Svalbard and Jan Mayen Islands,52.35;Swaziland,14.35;Sweden,49.65;Switzerland,3.3;Syria,49.65;Taiwan,-911;Tajikistan,14.9;Tanzania,25.34;Thailand,31.35;Timor-Leste,28.15;Togo,NA;Tokelau,-911;Tonga,17.88;Trinidad and Tobago,100;Tunisia,52.35;Turkey,-911;Turkmenistan,NA;Turks and Caicos Islands,NA;Tuvalu,4.34;Uganda,32.52;Ukraine,-911;United Arab Emirates,43.06;United Kingdom,14.35;United States of America,NA;United States Virgin Islands,100;Uruguay,55.41;Uzbekistan,74.82;Vanuatu,33.76;Venezuela,17.25;Viet Nam,NA;Wallis and Futuna Islands,-911;Western Sahara,-911;Yemen,13.28;Zambia,23.64;Zimbabwe
