iso,Country,Total Score,Included on the EPI,Signature Date,Ratification Date,Points,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision
GEO,Georgia,3,Y,2001,2006,3,,,,,0,,,,,0,
GGY,Guernsey,-911,,,,,,,,,,,,,,,
GHA,Ghana,21,Y,2001,2003,3,2,2,2,2,0,2,2,2,2,,2
GIB,Gibraltar,-1,,,,,,,,,,,,,,,
GIN,Guinea,22,N,2001,2007,3,2,2,2,2,0,2,2,2,2,1,2
GLP,Guadeloupe,-1,,,,,,,,,,,,,,,
GMB,Gambia,21,N,2001,2006,3,2,2,2,2,0,2,2,2,2,0,2
GNB,Guinea-Bissau,5,N,2002,2008,3,0,0,2,0,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,-1,,,,,,,,,,,,,,,
GRC,Greece,21,Y,2001,2006,3,2,2,2,2,,2,2,2,2,,2
GRD,Grenada,-1,,,,,,,,,,,,,,,
GRL,Greenland,-1,,,,,,,,,,,,,,,
GTM,Guatemala,22,Y,2002,2008,3,2,2,2,2,1,2,2,2,2,,2
GUF,French Guiana,-1,,,,,,,,,,,,,,,
GUM,Guam,-1,,,,,,,,,,,,,,,
GUY,Guyana,21,N,,2007,3,2,2,2,2,,2,2,2,2,0,2
HKG,Hong Kong,-1,,,,,,,,,,,,,,,
HMD,Heard Island and McDonald Islands,-911,,,,,,,,,,,,,,,
HND,Honduras,21,Y,2002,2005,3,2,2,2,2,0,2,2,2,2,0,2
HRV,Croatia,24,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,2,2
HTI,Haiti,1,Y,2001,,1,,,,,,,,,,,
HUN,Hungary,23,Y,2001,2008,3,2,2,2,2,1,2,2,2,2,1,2
IDN,Indonesia,21,Y,2001,2009,3,2,2,2,2,0,2,2,2,2,,2
IMN,Isle of Man,-1,,,,,,,,,,,,,,,
IND,India,23,Y,2002,2006,3,2,2,2,2,,2,2,2,2,2,2
IOT,British Indian Ocean Territory,-911,,,,,,,,,,,,,,,
IRL,Ireland,24,Y,2001,2010,3,2,2,2,2,1,2,2,2,2,2,2
IRN,Iran,21,Y,2001,2006,3,2,2,2,2,,2,2,2,2,0,2
IRQ,Iraq,0,Y,,,0,,,,,,,,,,,
ISL,Iceland,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
ISR,Israel,1,Y,2001,,1,,,,,,,,,,,
ITA,Italy,20,Y,2001,,1,2,2,,2,1,2,2,2,2,2,2
JAM,Jamaica,23,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,1,2
JEY,Jersey,-911,,,,,,,,,,,,,,,
JOR,Jordan,21,Y,2002,2004,3,2,2,2,2,0,2,2,2,,2,2
JPN,Japan,23,Y,,2002,3,2,2,2,2,1,2,2,2,2,1,2
KAZ,Kazakhstan,13,Y,2001,2007,3,2,,2,2,0,,2,,2,0,
KEN,Kenya,21,Y,2001,2004,3,2,2,2,2,,2,2,2,2,0,2
KGZ,Kyrgyzstan,22,Y,2002,2006,3,2,2,2,2,0,2,2,2,1,2,2
KHM,Cambodia,7,Y,2001,2006,3,,,2,,0,2,,,,0,
KIR,Kiribati,3,N,2002,2004,3,,,,,,,,,,,
KNA,Saint Kitts and Nevis,21,N,,2004,3,2,2,2,2,,2,2,2,2,0,2
KOR,South Korea,23,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,1,2
KWT,Kuwait,23,Y,2001,2006,3,2,2,2,2,,2,2,2,2,2,2
LAO,Laos,15,N,2002,2006,3,2,,2,2,,2,2,,,0,2
LBN,Lebanon,20,Y,2001,2003,3,2,2,2,2,0,2,2,0,2,1,2
LBR,Liberia,23,N,,2002,3,2,2,2,2,1,2,2,2,2,1,2
LBY,Libya,3,Y,,2005,3,,,,,,,,,,,
LCA,Saint Lucia,5,N,,2002,3,,,2,,0,,,0,,0,
LIE,Liechtenstein,21,N,2001,2004,3,2,2,2,2,,2,2,2,2,,2
LKA,Sri Lanka,21,Y,2001,2005,3,2,2,2,2,0,2,2,2,2,0,2
LSO,Lesotho,3,N,2002,2002,3,0,0,0,0,,0,0,0,0,0,0
LTU,Lithuania,24,Y,2002,2006,3,2,2,2,2,1,2,2,2,2,2,2
LUX,Luxembourg,23,Y,2001,2003,3,2,2,2,2,,2,2,2,2,2,2
LVA,Latvia,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
MAC,Macao,-1,,,,,,,,,,,,,,,
MAF,Saint Martin,-911,,,,,,,,,,,,,,,
MAR,Morocco,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,0,2
MCO,Monaco,23,N,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
